onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 2.070	ITI	0	0	 0.000
 2.070	 0.557	betty	0	0	 0.000
 2.627	 1.114	answer	2	2	 1.039
 3.741	 7.879	ITI	0	0	 0.000
 11.620	 0.398	betty	0	0	 0.000
 12.018	 0.796	answer	2	1	 0.788
 12.814	 7.401	ITI	0	0	 0.000
 20.215	 0.557	anne	0	0	 0.000
 20.772	 5.174	answer	1	0	 0.000
 25.946	 3.263	ITI	0	0	 0.000
 29.209	 0.875	chloe	0	0	 0.000
 30.084	 5.173	answer	3	0	 0.000
 35.257	 3.502	ITI	0	0	 0.000
 38.759	 0.797	anne	0	0	 0.000
 39.556	 1.512	answer	1	1	 1.510
 41.068	 6.923	ITI	0	0	 0.000
 47.991	 0.876	chloe	0	0	 0.000
 48.867	 5.172	answer	3	0	 0.000
 54.039	 3.423	ITI	0	0	 0.000
 57.462	 0.558	chloe	0	0	 0.000
 58.020	 1.193	answer	3	2	 1.156
 59.213	 7.322	ITI	0	0	 0.000
 66.535	 0.477	betty	0	0	 0.000
 67.012	 0.876	answer	2	1	 0.868
 67.888	 8.516	ITI	0	0	 0.000
 76.404	 0.796	anne	0	0	 0.000
 77.200	 5.173	answer	1	0	 0.000
 82.373	 3.581	ITI	0	0	 0.000
 85.954	 0.477	chloe	0	0	 0.000
 86.431	 1.194	answer	3	1	 1.117
 87.625	 7.880	ITI	0	0	 0.000
 95.505	 0.716	anne	0	0	 0.000
 96.221	 2.149	answer	1	1	 2.145
 98.370	 7.719	ITI	0	0	 0.000
 106.089	 0.477	betty	0	0	 0.000
 106.566	 0.637	answer	2	1	 0.598
 107.203	 8.675	ITI	0	0	 0.000
 115.878	 0.478	anne	0	0	 0.000
 116.356	 0.398	answer	1	1	 0.398
 116.754	 8.276	ITI	0	0	 0.000
 125.030	 0.478	betty	0	0	 0.000
 125.508	 2.548	answer	2	2	 2.472
 128.056	 7.958	ITI	0	0	 0.000
 136.014	 0.796	chloe	0	0	 0.000
 136.810	 1.114	answer	3	3	 1.082
 137.924	 7.641	ITI	0	0	 0.000
 145.565	 0.557	anne	0	0	 0.000
 146.122	 2.228	answer	1	3	 2.164
 148.350	 6.605	ITI	0	0	 0.000
 154.955	 0.637	betty	0	0	 0.000
 155.592	 5.173	answer	2	0	 0.000
 160.765	 6.049	ITI	0	0	 0.000
 166.814	 0.637	chloe	0	0	 0.000
 167.451	 0.318	answer	3	3	 0.301
 167.769	 8.038	ITI	0	0	 0.000
 175.807	 0.557	betty	0	0	 0.000
 176.364	 5.173	answer	2	0	 0.000
 181.537	 3.741	ITI	0	0	 0.000
 185.278	 0.477	chloe	0	0	 0.000
 185.755	 2.547	answer	3	3	 2.503
 188.302	 5.650	ITI	0	0	 0.000
 193.952	 0.557	anne	0	0	 0.000
 194.509	 2.309	answer	1	1	 2.263
 196.818	 6.924	ITI	0	0	 0.000
 203.742	 0.557	betty	0	0	 0.000
 204.299	 1.591	answer	2	1	 1.531
 205.890	 8.119	ITI	0	0	 0.000
 214.009	 0.875	chloe	0	0	 0.000
 214.884	 5.173	answer	3	0	 0.000
 220.057	 3.024	ITI	0	0	 0.000
 223.081	 0.716	anne	0	0	 0.000
 223.797	 2.706	answer	1	1	 2.633
 226.503	 5.572	ITI	0	0	 0.000
 232.075	 0.716	anne	0	0	 0.000
 232.791	 5.173	answer	1	0	 0.000
 237.964	 3.979	ITI	0	0	 0.000
 241.943	 0.796	chloe	0	0	 0.000
 242.739	 2.149	answer	3	3	 2.109
 244.888	 5.094	ITI	0	0	 0.000
 249.982	 0.636	chloe	0	0	 0.000
 250.618	 1.035	answer	3	3	 1.012
 251.653	 7.481	ITI	0	0	 0.000
 259.134	 0.636	betty	0	0	 0.000
 259.770	 2.865	answer	2	2	 2.792
 262.635	 7.164	ITI	0	0	 0.000
 269.799	 0.716	betty	0	0	 0.000
 270.515	 5.173	answer	2	0	 0.000
 275.688	 4.058	ITI	0	0	 0.000
 279.746	 0.796	chloe	0	0	 0.000
 280.542	 2.865	answer	3	3	 2.788
 283.407	 5.651	ITI	0	0	 0.000
 289.058	 0.398	betty	0	0	 0.000
 289.456	 1.353	answer	2	1	 1.342
 290.809	 7.083	ITI	0	0	 0.000
 297.892	 0.716	anne	0	0	 0.000
 298.608	 2.468	answer	1	1	 2.452
 301.076	 7.004	ITI	0	0	 0.000
 308.080	 0.477	anne	0	0	 0.000
 308.557	 0.955	answer	1	1	 0.933
 309.512	 7.322	ITI	0	0	 0.000
 316.834	 0.875	chloe	0	0	 0.000
 317.709	 1.593	answer	3	1	 1.561
 319.302	 7.799	ITI	0	0	 0.000
 327.101	 0.716	betty	0	0	 0.000
 327.817	 1.114	answer	2	2	 1.107
 328.931	 7.959	ITI	0	0	 0.000
 336.890	 0.716	anne	0	0	 0.000
 337.606	 1.115	answer	1	1	 1.048
 338.721	 5.889	ITI	0	0	 0.000
 344.610	 4.139	END	0	0	 0.000
